instance_id,sentence,target_word,predicted_sense,gold_sense,gold_sense_key,score,is_correct
d000.s000.t001,That 's what the man had said .,said,state.v.01,allege.v.01,say%2:32:01::,3.7107274532318115,False
d000.s001.t003,"Haney peered doubtfully at his drinking companion through bleary , tear-filled eyes .",eyes,eye.v.01,eye.n.01,eye%1:08:00::,0.041288815438747406,False
d000.s002.t006,"He had no ready answer , as much from surprise as from the fit of coughing .",coughing,cough.n.01,cough.n.01,coughing%1:26:00::,2.2853844165802,True
d000.s003.t002,Was the man drunk or crazy or both ?,crazy,brainsick.s.01,brainsick.s.01,crazy%5:00:00:insane:00,2.9508719444274902,True
d000.s004.t009,"But his new-found buddy had matched him drink for drink until he lost count , and the man 's eyes were still clear .",clear,clear.a.01,clear.a.04,clear%3:00:02::,3.841336727142334,False
d000.s005.t004,"The guy is off his rocker , Haney thought to himself , and looked away from those eyes .",eyes,eye.v.01,eye.n.01,eye%1:08:00::,2.29579496383667,False
d000.s006.t007,"Eyes that were clear , but also bright with a strange intensity , a sort of cold fire burning behind them .",burning,burn.v.07,burn.v.06,burn%2:37:00::,2.9206223487854004,False
d000.s007.t000,Why had n't he noticed it before ?,noticed,notice.v.02,notice.v.02,notice%2:39:00::,3.1756162643432617,True
d000.s008.t001,"No , the man was not drunk",drunk,intoxicated.a.01,intoxicated.a.01,drunk%3:00:00::,0.046707525849342346,True
d000.s009.t003,He wondered how he got tied up with this stranger .,stranger,stranger.n.01,stranger.n.01,stranger%1:18:00::,3.54302978515625,True
d000.s010.t000,"But , of course , he remembered now .",remembered,remember.v.01,remember.v.01,remember%2:31:00::,3.8223938941955566,True
d000.s011.t005,"It was blurred , after two hours of steady drinking , but the occasion of it came back to him .",came back,,come_back.v.01,come_back%2:30:00::,-inf,False
d000.s012.t011,"The stranger , his head seemingly sunk in thought , started to cross the street against the light just as a huge moving van roared through the intersection .",intersection,intersection.n.01,intersection.n.02,intersection%1:06:00::,2.221097469329834,False
d000.s013.t007,"Brakes howled and a horn blared furiously , but the man would have been hit if Phil had n't called out to him a second before .",second,second.s.01,second.n.01,second%1:28:00::,3.1512250900268555,False
d000.s014.t004,"His shout had been involuntary , something anybody might have done without thinking , on the spur of the moment .",on the spur of the moment,,on_the_spur_of_the_moment.r.01,on_the_spur_of_the_moment%4:02:00::,-inf,False
d000.s015.t003,"As a matter of fact , he would n't have cared at all if the guy had been hit .",hit,hit.v.02,hit.v.02,hit%2:35:01::,3.3760628700256348,True
d000.s016.t010,"Actually , he regretted having opened his mouth when the truck came to a stop and the angry driver jumped down from the cab and walked back toward them .",walked,walk.v.01,walk.v.01,walk%2:38:00::,2.2850632667541504,True
d000.s017.t006,"By then , the stranger was thanking Haney profusely and had one arm around his shoulders as if he were an old friend .",friend,friend.n.01,friend.n.01,friend%1:18:00::,2.2453629970550537,True
d000.s018.t006,So the driver started to curse at both of them as if they had been in a plot together to ruin his safe-driving record .,record,record.n.06,record.n.04,record%1:04:01::,1.1308144330978394,False
d000.s019.t007,"Then the man he saved turned and looked squarely into the truck driver 's face , without saying a word .",word,word.n.02,word.n.02,word%1:10:03::,2.9027631282806396,True
d000.s020.t005,"Very suddenly , the driver stopped swearing at them , turned on his heel and went back to his truck .",truck,truck.n.01,truck.n.01,truck%1:06:00::,1.6694130897521973,True
d000.s021.t003,Haney had n't given it much thought at the time .,time,time.n.01,time.n.01,time%1:11:00::,3.8978431224823,True
d000.s022.t004,"Now he recalled it very clearly , and wondered what the truck driver had seen in those eyes to make him back off .",make,make.v.03,make.v.08,make%2:36:15::,3.4426543712615967,False
d000.s023.t005,It must have been the sort of look that can call a bluff without saying a word .,word,word.n.02,word.n.02,word%1:10:03::,2.9673871994018555,True
d000.s024.t004,"When the light went their way , they went on across the street .",street,street.n.01,street.n.02,street%1:06:01::,1.1813197135925293,False
d000.s025.t008,"And when the stranger found out that Phil was on the way to one of his favorite bars , he insisted on offering to buy drinks for both of them .",drinks,drink.n.01,drink.n.01,drink%1:13:04::,3.1836092472076416,True
d000.s026.t008,"Phil usually went alone and kept to himself , sitting in a corner and passing the time by nursing his favorite grudges .",grudges,grudge.n.01,grudge.n.01,grudge%1:12:00::,3.382402181625366,True
d000.s027.t009,"But he decided he would n't mind company in return for free drinks , even though he made good money at his job .",job,occupation.n.01,occupation.n.01,job%1:04:00::,2.447495460510254,True
d000.s029.t003,"Now he wondered if it was worth it , having a screwball for company .",company,company.n.06,company.n.03,company%1:26:00::,3.2363548278808594,False
d000.s030.t004,"He really did n't take the offer seriously , but he began to feel uneasy .",uneasy,uneasy.a.01,awkward.s.06,uneasy%5:00:00:uncomfortable:01,3.237109661102295,False
d000.s031.t010,"When he finally got the coughing under control , he realized that Pete -LRB- all he gave was his first name -RRB- was still waiting for an answer -- he did n't even seem to wink as he continued to stare .",stare,gaze.v.01,gaze.v.01,stare%2:39:00::,2.806541919708252,True
d000.s032.t002,Haney managed a weak laugh .,laugh,laugh.n.01,laugh.n.01,laugh%1:10:00::,1.928192138671875,True
d000.s033.t000,"`` Guess I ca n't think of anyone , Pete .",think,think.v.01,entertain.v.02,think_of%2:31:03::,1.3554580211639404,False
d000.s034.t000,Thanks anyhow ``,Thanks,thank.v.01,thanks.n.01,thanks%1:10:00::,0.6228450536727905,False
d000.s035.t004,A faint crease appeared between the man 's eyebrows .,eyebrows,eyebrow.n.01,eyebrow.n.01,eyebrow%1:08:00::,0.9015859961509705,True
d000.s036.t001,"`` I think you are n't taking me seriously , Phil .",taking,consider.v.03,take.v.06,take%2:31:07::,2.758636474609375,False
d000.s037.t000,I meant it .,meant,mean.v.01,mean.v.01,mean%2:32:01::,2.3811542987823486,True
d000.s038.t002,And everybody has some kind of grudge .,grudge,grudge.n.01,grudge.n.01,grudge%1:12:00::,3.3657379150390625,True
d000.s039.t001,I might have got hit by that truck if it was n't for you .,truck,truck.n.01,truck.n.01,truck%1:06:00::,3.504077434539795,True
d000.s040.t001,I believe in returning favors .,favors,favor.n.02,favor.n.01,favor%1:04:00::,2.3622634410858154,False
d000.s041.t002,I 'll do anything for somebody I like .,like,wish.v.02,like.v.03,like%2:37:04::,3.643010139465332,False
d000.s042.t001,"It wo n't cost you a cent , Phil .",cent,penny.n.02,penny.n.02,cent%1:21:00::,1.450571060180664,True
d000.s043.t001,Go ahead and try me `` ! !,try,try.v.01,test.v.01,try%2:41:01::,1.6000272035598755,False
d000.s044.t001,Phil rubbed his forehead wearily .,forehead,brow.n.01,brow.n.01,forehead%1:08:00::,0.8382993340492249,True
d000.s045.t002,He was beginning to feel woolly .,woolly,wooly.s.03,addled.s.02,woolly%5:00:00:confused:00,1.179031252861023,False
d000.s046.t003,Maybe it would be better to humor the guy and then make an exit .,exit,exit.n.03,exit.n.03,exit%1:04:00::,3.2998971939086914,True
d000.s047.t003,"He really did n't expect anything to come of it , and there were a few people",people,people.n.01,people.n.01,people%1:14:00::,-0.3636603355407715,True
d000.s048.t003,"`` All right `` , he conceded finally , `` if you must know , I do n't get along with the landlord .",landlord,landlord.n.01,landlord.n.01,landlord%1:18:00::,2.169273614883423,True
d000.s049.t007,He keeps riding me because I like to listen to the radio and sing while I 'm taking a bath .,bath,bath.n.02,bath.n.02,bath%1:04:00::,1.9159905910491943,True
d000.s050.t003,"He says the neighbors complain , but I do n't believe it .",believe,believe.v.01,believe.v.01,believe%2:31:00::,3.6153595447540283,True
d000.s051.t001,Why do n't they tell me themselves if it bothers them `` ?,bothers,annoy.v.01,annoy.v.01,bother%2:37:00::,3.1263368129730225,True
d000.s052.t003,The man closed his eyes and nodded .,nodded,nod.v.01,nod.v.02,nod%2:32:00::,3.4340901374816895,False
d000.s053.t002,"When he looked up again , he seemed almost contented .",contented,contented.a.01,content.v.02,content%2:37:00::,3.1387081146240234,False
d000.s054.t000,`` Fine .,Fine,very_well.r.02,all_right.s.01,fine%5:00:00:satisfactory:00,1.957335352897644,False
d000.s055.t001,Give me your address .,address,address.n.02,address.n.06,address%1:10:02::,0.9039358496665955,False
d000.s056.t001,It will take a little time .,time,time.n.02,time.n.03,time%1:28:00::,3.5804481506347656,False
d000.s057.t004,I want to study your landlord 's habits and movements first .,movements,movement.n.03,motion.n.03,movement%1:04:00::,1.971588134765625,False
d000.s058.t003,"You see , I always make it look like an accident .",accident,accident.n.01,accident.n.01,accident%1:11:01::,3.5719082355499268,True
d000.s059.t002,"Maybe suicide , if it looks reasonable .",reasonable,fair.s.02,reasonable.a.01,reasonable%3:00:00::,3.4644527435302734,False
d000.s060.t001,In that way there 's no trouble for the customer `` .,customer,customer.n.01,customer.n.01,customer%1:18:00::,3.3935799598693848,True
d000.s061.t001,Haney 's eyebrows flew up .,flew,fly.v.02,fly.v.07,fly%2:30:01::,1.3252429962158203,False
d000.s062.t000,`` Customer `` ?,Customer,customer.n.01,customer.n.01,customer%1:18:00::,1.796424388885498,True
d000.s063.t000,Pete smiled modestly .,smiled,smile.v.01,smile.v.01,smile%2:29:00::,1.5581272840499878,True
d000.s064.t001,"`` It 's my line of work `` , he said",said,state.v.01,say.v.08,say%2:32:15::,3.2663190364837646,False
d000.s065.t006,"Five minutes later , before Haney could make his break , the stranger stood up and nodded farewell .",farewell,farewell.n.01,farewell.n.01,farewell%1:10:00::,2.248807430267334,True
d000.s066.t011,"Haney watched the small but wiry man slip out the door quickly and silently , and felt relieved to see that nobody else seemed to notice his departure .",departure,departure.n.01,departure.n.01,departure%1:04:00::,2.9434516429901123,True
d000.s067.t010,"Phil decided to stay a little longer , and as time passed it seemed as if the strange little man had never been there , but for the other glass on the table .",table,table.n.03,table.n.02,table%1:06:01::,2.1735076904296875,False
d000.s068.t009,"Some time before midnight he returned to his apartment and hit the sack , putting the whole incident out of mind before he fell asleep .",fell asleep,,fall_asleep.v.01,fall_asleep%2:29:00::,-inf,False
